key,value
langMain,en
langMainLong,eng
langMainFull,English
langAlt,fr
langAltLong,fra
langAltFull,Français
,
metaDescription,Sample of an implementation of RAMP
metaCreator,"Environment Canada, CSB BASD BeSD"
metaTitle,Reusable Accessible Mapping Platform
metaIssued,Date Published (2014-07-01)
metaModified,Date Published (2014-07-01)
metaSubject,Environment
metaLanguge,eng
,
title,Reusable Accessible Mapping Platform (RAMP)
skipToMain,Skip to main content
skipToFooter,Skip to footer
,
navigationBar,Navigation Bar
,
rampAltLangLink,carte.html
,
servicesTitle,Services
departmentsTitle,Departments
goc,Government of Canada
sgoc,Symbol of the Government of Canada
,
titleLink,Reusable Accessible Mapping Platform (RAMP)
titleSubLink,EC's Enterprise Geospatial Viewer
,
siteMenu,Site menu
,
link1Url,http://ramp-racp.github.io/index-en.html
link2Url,http://ramp-racp.github.io/docs/started-en.html
link3Url,http://ramp-racp.github.io/docs/index-en.html
,
link1Title,RAMP Project
link2Title,Using RAMP
link3Title,RAMP Documentation
,
closeTitle,Close
,
getLinkTitle,Get Link
getLinkDescription,Link to Map Viewer
getLinkShortLink,Short link
getLinkEmail,Email
,
fullScreenTitle,Full Screen
,
helpTitle,Help
helpSectionsTitle,Help Sections
,
advancedTitle,Advanced
populationToolThumbnail,Population Tool
measureToolThumbnail,Measure Tool
bufferToolThumbnail,Buffer Tool
populationTitle,Population
totalPopulation,Total Population
measureTitle,Measure
area,Area
length,Length
distance,Distance
bufferTitle,Buffer
clearMap,Clear Map
,
addLayerTitle,Add Layer from Web
addLayerSelectTypeText,What type of data are you referencing?
addLayerType1,An ArcGIS Server Web Service
addLayerType2,A WMS OGC Web Service
addLayerType3,A WMTS OGC Web Service
addLayerType4,A Tile Layer
addLayerType5,A KML File
addLayerType6,A GeoRSS File
addLayerType7,A CSV File
addLayerPlaceholder, http://<MyServerName>/ArcGIS/rest/services/<MyServiceName>
addLayerAddButton, Add Layer
addLayer-URL-label, URL:
addLayer-Opacity-label, Opacity:
addLayer-opacity-alt, Range: 0 to 10 in steps of 1
addLayer-opacity-display-start, (Current Value:
addLayer-opacity-display-end,%)
,
loadingTitle,Loading
,
datasetsTabTitle,Datasets
dataTabTitle,Data
,
footer,Footer
siteFooter,Site footer
transparency,Transparency
transparencyLink,http://www.ec.gc.ca/default.asp?lang=En&amp;n=390AF41B-1
termsConditions,Terms and conditions
termsConditionsLink,http://www.ec.gc.ca/default.asp?lang=En&amp;xml=5830C36B-1773-4E3E-AF8C-B21F54633E0A
dateModifiedTitle,Date Modified
